Reef_ID,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
130,U/N Reef,0,0,0,0,0.024120062,0,0,0,0,0.024120062,127462.0583,Far Northern Management Area,Torres Strait,59058,E
131,U/N Reef,0,0,0,0,0,0,0.1699603,0,0,0.1699603,165272.5824,Far Northern Management Area,Torres Strait,59059,E
132,U/N Reef,0,0,0,0,0.124397486,0,0,0,0,0.124397486,175289.8868,Far Northern Management Area,Torres Strait,59059,E
133,U/N Reef,0,0,0,0,0,0,0.414360628,0,0,0.414360628,150279.8497,Far Northern Management Area,Torres Strait,59059,E
90,U/N Reef,0,0,0,0,0,5.661195489,0,0,0,5.661195489,202967.6341,Far Northern Management Area,Torres Strait,59060,E
91,U/N Reef,0,0,0,0,0.104880587,0,0,0,0,0.104880587,149044.1798,Far Northern Management Area,Torres Strait,59059,E
92,U/N Reef,0,0,0,0,0,0,0.30833374,0,0,0.30833374,199668.671,Far Northern Management Area,Torres Strait,59060,E
93,U/N Reef,0,0,0,0,0,0,0.892965303,0,0,0.892965303,200452.7417,Far Northern Management Area,Torres Strait,59060,E
94,U/N Reef,0,0,0,0,0,0.256698037,0,0,0,0.256698037,42918.24088,Far Northern Management Area,Cape York Peninsula,59057,E
95,U/N Reef,0,0,0,0,0,0.158959092,0,0,0,0.158959092,46841.16026,Far Northern Management Area,Cape York Peninsula,59057,E
96,U/N Reef,0,0,0,0,0,1.018911127,0,0,0,1.018911127,46498.27764,Far Northern Management Area,Cape York Peninsula,59057,E
97,U/N Reef,0,0,0,0,0,0.424271398,0,0,0,0.424271398,46735.6403,Far Northern Management Area,Torres Strait,59057,E
98,U/N Reef,0,0,0,0,0,0,0.004205344,0,0,0.004205344,131878.8144,Far Northern Management Area,Torres Strait,59058,E
99,U/N Reef,0,0,0,0,0,0,1.802415339,0,0,1.802415339,141142.6655,Far Northern Management Area,Torres Strait,59058,E
100,U/N Reef,0,0,0,0,0.006435241,0,0,0,0,0.006435241,152891.4927,Far Northern Management Area,Torres Strait,59059,E
101,U/N Reef,0,0,0,0,0.312338816,0,0,0,0,0.312338816,160553.6448,Far Northern Management Area,Cape York Peninsula,59072,E
102,U/N Reef,0,0,0,0,1.385412377,0,0,0,0,1.385412377,171933.8917,Far Northern Management Area,Torres Strait,59059,E
104,U/N Reef,0,0,0,0,0.007386883,0,0,0,0,0.007386883,179402.6589,Far Northern Management Area,Torres Strait,59059,E
105,U/N Reef,0,0,0,0,0,0,0.05745374,0,0,0.05745374,193542.755,Far Northern Management Area,Torres Strait,59059,E
106,U/N Reef,0,0,0,0,0,0.000844762,0,0,0,0.000844762,201498.6778,Far Northern Management Area,Torres Strait,59060,E
107,U/N Reef,0,0,0,0,0,0.365547152,0,0,0,0.365547152,204840.4859,Far Northern Management Area,Torres Strait,59060,E
108,U/N Reef,0,0,0,0,0,2.262165048,0,0,0,2.262165048,62116.99368,Far Northern Management Area,Torres Strait,59057,E
109,U/N Reef,0,0,0,0,0,0.806651701,0,0,0,0.806651701,74574.70275,Far Northern Management Area,Cape York Peninsula,59070,E
110,U/N Reef,0,0,0,0,0,0,0.023306892,0,0,0.023306892,192395.5598,Far Northern Management Area,Torres Strait,59059,E
135,Arnold Reef,0,0,0,0,0,2.070140407,0,0,0,2.070140407,98002.35987,Far Northern Management Area,Cape York Peninsula,59070,E
136,Thomson Islet Reef,0,0,0,0,0,0.328990619,0,0,0,0.328990619,78060.1137,Far Northern Management Area,Cape York Peninsula,59070,E
137,U/N Reef,0,0,0,0,0,5.999270715,0,0,0,5.999270715,81990.94923,Far Northern Management Area,Cape York Peninsula,59070,E
138,Gilmore Bank,0,0,0,0,0,0.005901272,0,0,0,0.005901272,94931.79512,Far Northern Management Area,Cape York Peninsula,59070,E
139,U/N Reef,0,0,0,0,0,0.003440408,0,0,0,0.003440408,95040.6328,Far Northern Management Area,Cape York Peninsula,59070,E
140,U/N Reef,0,0,0,0,0,0.005304255,0,0,0,0.005304255,95880.12414,Far Northern Management Area,Cape York Peninsula,59070,E
141,U/N Reef,0,0,0,0,0,0.005734193,0,0,0,0.005734193,99784.66691,Far Northern Management Area,Cape York Peninsula,59070,E
142,U/N Reef,0,0,0,0,0,0.270992524,0,0,0,0.270992524,99724.01036,Far Northern Management Area,Cape York Peninsula,59070,E
143,Bushy Island Reef,0,0,0,0,0,5.884395495,0,0,0,5.884395495,104712.4338,Far Northern Management Area,Cape York Peninsula,59070,E
144,Cairncross Islets Reef,0,0,0,0,0,5.713126222,0,0,0,5.713126222,107937.8665,Far Northern Management Area,Cape York Peninsula,59070,E
145,U/N Reef,0,0,0,0,0,0.003538822,0,0,0,0.003538822,105261.0446,Far Northern Management Area,Cape York Peninsula,59070,E
146,U/N Reef,0,0,0,0,0,0.003067243,0,0,0,0.003067243,105771.1245,Far Northern Management Area,Cape York Peninsula,59070,E
147,U/N Reef,0,0,0,0,0,0,1.850718833,0,0,1.850718833,114450.1348,Far Northern Management Area,Cape York Peninsula,59070,E
148,Halfway Islet Reef,0,0,0,0,0,0,3.286391099,0,0,3.286391099,122850.0798,Far Northern Management Area,Cape York Peninsula,59070,E
149,Pearn Reef,0,0,0,0,0,0,0.005885766,0,0,0.005885766,125426.0083,Far Northern Management Area,Cape York Peninsula,59070,E
150,U/N Reef,0,0,0,0,0,0,1.76677782,0,0,1.76677782,117752.5408,Far Northern Management Area,Cape York Peninsula,59070,E
151,McSweeney Reef,0,0,0,0,0,6.783677574,0,0,0,6.783677574,122397.6887,Far Northern Management Area,Cape York Peninsula,59071,E
152,U/N Reef,0,0,0,0,0.453367671,0,0,0,0,0.453367671,133567.6125,Far Northern Management Area,Cape York Peninsula,59071,E
153,U/N Reef,0,0,0,0,0.127782595,0,0,0,0,0.127782595,135551.4458,Far Northern Management Area,Cape York Peninsula,59071,E
154,U/N Reef,0,0,0,0,0,0.513836582,0,0,0,0.513836582,147876.9317,Far Northern Management Area,Cape York Peninsula,59071,E
155,U/N Reef,0,0,0,0,0.054653014,0,0,0,0,0.054653014,138064.762,Far Northern Management Area,Cape York Peninsula,59071,E
156,U/N Reef,0,0,0,0,0.098098509,0,0,0,0,0.098098509,138438.5867,Far Northern Management Area,Cape York Peninsula,59071,E
157,U/N Reef,0,0,0,0,0.222968558,0,0,0,0,0.222968558,151287.4694,Far Northern Management Area,Cape York Peninsula,59072,E
158,U/N Reef,0,0,0,0,1.11705897,0,0,0,0,1.11705897,142054.4888,Far Northern Management Area,Cape York Peninsula,59071,E
159,U/N Reef,0,0,0,0,0.089099799,0,0,0,0,0.089099799,135676.3385,Far Northern Management Area,Cape York Peninsula,59071,E
160,U/N Reef,0,0,0,0,0,14.90454033,0,0,0,14.90454033,108560.5076,Far Northern Management Area,Cape York Peninsula,59071,E
161,Sinclair Reef,0,0,0,0,0,0,6.442447316,0,0,6.442447316,107095.2345,Far Northern Management Area,Cape York Peninsula,59071,E
162,U/N Reef,0,0,0,0,0,0,0.000847784,0,0,0.000847784,106737.4141,Far Northern Management Area,Cape York Peninsula,59071,E
163,U/N Reef,0,0,0,0,0.394315006,0,0,0,0,0.394315006,152590.5095,Far Northern Management Area,Cape York Peninsula,59072,E
164,Monsoon Reef,0,0,0,0,0,5.92541281,0,0,0,5.92541281,130102.6029,Far Northern Management Area,Cape York Peninsula,59071,E
165,U/N Reef,0,0,0,0,2.906576821,0,0,0,0,2.906576821,146199.87,Far Northern Management Area,Cape York Peninsula,59072,E
