id,reef_uniqueid,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
128,10444100104,U/N Reef,0,0,0,0,0,0,0.000844762,0,0,0.000844762,201498.6778,Far Northern,Torres Strait,59060,E
129,10445100104,U/N Reef,0,0,0,0,0,0,0.365547152,0,0,0.365547152,204840.4859,Far Northern,Torres Strait,59060,E
130,10800100104,U/N Reef,0,0,0,0,0,0,2.262165048,0,0,2.262165048,62116.99368,Far Northern,Torres Strait,59057,E
131,10801100104,U/N Reef,0.000354109,0,0,0,0,0,0.806297592,0,0,0.806651701,74574.70275,Far Northern,Cape York Peninsula,59070,E
132,10807100104,U/N Reef,0.019389894,0,0,0,0,0,0,0.003916998,0,0.023306892,192395.5598,Far Northern,Torres Strait,59059,E
133,11001100104,Arnold Reef,0.00079318,0,0,0,0,0,2.069347227,0,0,2.070140407,98002.35987,Far Northern,Cape York Peninsula,59070,E
134,11002100104,Thomson Islet Reef,0.000217013,0,0,0,0,0,0.328773606,0,0,0.328990619,78060.1137,Far Northern,Cape York Peninsula,59070,E
135,11003100104,U/N Reef,0.002074254,0,0,0,0,0,5.997196461,0,0,5.999270715,81990.94923,Far Northern,Cape York Peninsula,59070,E
136,11004100104,Gilmore Bank,0,0,0,0,0,0,0.005901272,0,0,0.005901272,94931.79512,Far Northern,Cape York Peninsula,59070,E
137,11005100104,U/N Reef,0,0,0,0,0,0,0.003440408,0,0,0.003440408,95040.6328,Far Northern,Cape York Peninsula,59070,E
138,11006100104,U/N Reef,0,0,0,0,0,0,0.005304255,0,0,0.005304255,95880.12414,Far Northern,Cape York Peninsula,59070,E
139,11007100104,U/N Reef,0,0,0,0,0,0,0.005734193,0,0,0.005734193,99784.66691,Far Northern,Cape York Peninsula,59070,E
140,11008100104,U/N Reef,0,0,0,0,0,0,0.270992524,0,0,0.270992524,99724.01036,Far Northern,Cape York Peninsula,59070,E
